NCTId,Title,Condition,Eligibility,Status
NCT04519476,Selinexor Treatment for Multiple Myeloma Patients Who Are Refractory to Lenalidomide-containing Therapy.,Refractory Multiple Myeloma,"Inclusion Criteria:

* Patients must meet all of the following inclusion criteria to be eligible to enroll in this study:

  1. Age ≥ 18 year of age.
  2. Willing and able to provide written informed consent in accordance with federal, local, and institutional guidelines. The patient must provide informed consent prior to the first screening procedure.
  3. Able to adhere to the study visit schedule and other protocol requirements.
  4. ECOG Performance Status (PS) of ≤ 2.
  5. Has a diagnosis of MM based on standard criteria (9) as follows:

Major criteria:

1. Plasmacytomas on tissue biopsy.
2. Bone marrow plasmacytosis (greater than 30% plasma cells).
3. Monoclonal immunoglobulin spike on serum electrophoresis IgG greater than 3.5 g/dL or IgA greater than 2.0 g/dL or kappa or lambda light chain excretion greater than 1 g/day on 24-hour urine protein electrophoresis.

Minor criteria:

1. Bone marrow plasmacytosis (10% to 30% plasma cells).
2. Monoclonal immunoglobulin present but of lesser magnitude than given under major criteria.
3. Lytic bone lesions.
4. Normal IgM less than 50 mg/dL, IgA less than 100 mg/dL, or IgG less than 600 mg/dL.

   Any of the following sets of criteria will confirm the diagnosis of multiple myeloma:

   • any 2 of the major criteria

   • major criterion 1 plus minor criterion 2, 3, or 4

   • major criterion 3 plus minor criterion 1 or 3

   • minor criteria 1, 2, and 3, or 1, 2, and 4

6. Currently has MM with measurable disease, defined as:

* a monoclonal immunoglobulin spike on serum electrophoresis of at least 0.5 g/dL and/or
* urine monoclonal protein levels of at least 200 mg/24 hours
* for patients without measurable serum and urine M-protein levels, an involved SFLC \> 100 mg/L or abnormal SFLC ratio 7. Currently has progressive MM: MM patients that are relapsed or have refractory disease from at least 3 regimens or lines of therapy are eligible for enrollment provided they fulfill the other eligibility criteria:
* patients are considered relapsed, when they progress greater than 8 weeks from their last dose of treatment
* patients are refractory when they progress while currently receiving the treatment or within 8 weeks of its last dose 8. Previous exposure to lenalidomide: failed lenalidomide (\> 10 mg)-containing regimen (lenalidomide- containing regimen could be any prior regimen and is not required to be a part of their most recent treatment) and have received a proteasome inhibitor, an immunomodulatory agent and an anti-CD38 antibody therapy.

  9. Adequate hepatic function within 28 days prior to C1D1: Total bilirubin \< 1.5 × upper limit of normal (ULN) (except patients with Gilbert's syndrome who must have a total bilirubin of \< 3 × ULN), and Aspartate aminotransferase (AST) and alanine aminotransferase (ALT) normal to \< 2 × ULN.

  10. Adequate renal function within 28 days prior to C1D1 as determined by serum creatinine of ≤1.5 mg/dL OR estimated CrCl of \> 60 mL/min, calculated using the Cockcroft and Gault formula (140 - Age) • Mass (kg)/ (72 • creatinine mg/dL); multiply by 0.85 if female (10)(Appendix 5).

  11. Adequate hematopoietic function within 7 days prior to C1D1: total WBC count ≥1500/mm3, ANC ≥1000/mm3, hemoglobin ≥8.5 g/dL and platelet count ≥75,000/mm3 (patients for whom \<50% of BM nucleated cells are plasma cells) or ≥50,000/mm3 (patients for whom ≥50% of BM nucleated cells are plasma cells).

  12. Patients receiving hematopoietic growth factor support, including erythropoietin, darbepoetin, G-CSF, GM-CSF, and platelet stimulators (e.g., eltrombopag, romiplostim, or interleukin-11) must have a 2-week interval between growth factor support and the Screening assessments, but they may receive growth factor support during the study.

  13. Patients must have:
* At least a 2-week interval from the last red blood cell (RBC) transfusion prior to the start of study treatment
* At least a 1-week interval from the last platelet transfusion prior to the start of study treatment
* However, patients may receive RBC and/or platelet transfusions as clinically indicated per institutional guidelines during the study 14. Patients must be registered into the mandatory REVLIMID REMS™ program and be willing and able to comply with the requirements of the REVLIMID REMS™ program.

  15. Female patients of childbearing potential (FCBP) must have a negative serum pregnancy test at Screening. Female patients of childbearing potential and fertile male patients who are sexually active with a female of childbearing potential must use highly effective methods of contraception throughout the study and for 3 months following the last dose of study treatment, specifically:
* FCBP† must have a negative serum or urine pregnancy test with a sensitivity of at least 25 mIU/mL within 10 - 14 days prior to and again within 24 hours of starting treatment and must either commit to continued abstinence from heterosexual intercourse or use acceptable methods of birth control, one highly effective method and one additional effective method AT THE SAME TIME, and at least 28 days before she starts therapy. FCBP must also agree to ongoing pregnancy testing. Men must agree to use a latex condom during sexual contact with a FCBP even if they have had a vasectomy. All subjects must be counseled at a minimum of every 28 days about pregnancy precautions and risks of fetal exposure.

  * A FCBP (female of childbearing potential) is a sexually mature woman who: 1) has not undergone a hysterectomy or bilateral oophorectomy; or 2) has not been naturally postmenopausal for at least 24 consecutive months (i.e., has had menses at any time in the preceding 24 consecutive months) Able to take aspirin (acetylsalicylic acid, ASA) at 81 or 325 mg/daily as antiplatelet therapy if platelet count is above 30 x 109/L (subjects intolerant to ASA may use warfarin or low molecular weight heparin)

Exclusion Criteria:

* Patients meeting any of the following exclusion criteria are not eligible to enroll in this study:

  1. Has received selinexor or another XPO1 inhibitor previously.
  2. Prior malignancy that required treatment or has shown evidence of recurrence (except for non-melanoma skin cancer or adequately treated cervical carcinoma in situ) during the 5 years prior to randomization. Cancer treated with curative intent for \>5 years previously and without evidence of recurrence will be allowed.
  3. Has any concurrent medical condition or disease (e.g., uncontrolled active hypertension, uncontrolled active diabetes, active systemic infection, POEMS syndrome \[polyneuropathy, organomegaly, endocrinopathy, monoclonal protein, and skin changes\], primary amyloidosis, etc.) that is likely to interfere with study procedures.
  4. Uncontrolled active infection requiring parenteral antibiotics, antivirals, or antifungals within 1 week prior to Cycle 1 Day 1 (C1D1). Patients on prophylactic antibiotics or with a controlled infection within 1 week prior to C1D1 are acceptable.
  5. Known intolerance, hypersensitivity, or contraindication to glucocorticoids.
  6. Known hypersensitivity to compounds of similar chemical or biological composition to thalidomide and lenalidomide or steroids.
  7. Concurrent use of other anti-cancer agents or treatments.
  8. The development of erythema nodosum if characterized by a desquamating rash while taking thalidomide or similar drugs.
  9. Severe hypercalcemia, i.e., serum calcium ≥ 12 mg/dL (3.0 mmol/L) corrected for albumin
  10. Any condition, including the presence of laboratory abnormalities, which places the subject at unacceptable risk if he/she were to participate in the study or confounds the ability to interpret data from the study.
  11. Pregnant or breastfeeding females.
  12. BSA \<1.4 m2 at baseline, calculated by the Dubois (58) or Mosteller (59) method.
  13. Life expectancy of less than 3 months.
  14. Major surgery within 4 weeks prior to C1D1.
  15. Active, unstable cardiovascular function, as indicated by the presence of:

  1. Symptomatic ischemia, or 2. Uncontrolled clinically significant conduction abnormalities (e.g., patients with ventricular tachycardia on anti-arrhythmic are excluded; patients with first degree atrioventricular block or asymptomatic left anterior fascicular block/right bundle branch block will not be excluded), or 3. CHF of New York Heart Association Class ≥3 or known left ventricular ejection fraction \< 40%, or 4. MI within 3 months prior to C1D1. 16. Known active HIV infection or HIV seropositivity. 17. Known active hepatitis A, B, or C infection; or known to be positive for hepatitis C virus ribonucleic acid (RNA) or hepatitis B virus surface antigen.

  18. Any active GI dysfunction interfering with the patient's ability to swallow tablets, or any active GI dysfunction that could interfere with absorption of study treatment.

  19. Inability or unwillingness to take supportive medications such as anti-nausea and anti-anorexia agents as recommended by the National Comprehensive Cancer Network® (NCCN) Clinical Practice Guidelines in Oncology (CPGO) (NCCN CPGO) for antiemesis and anorexia/cachexia (palliative care).

  20. Any active, serious psychiatric, medical, or other conditions/situations that, in the opinion of the Investigator, could interfere with treatment, compliance, or the ability to give informed consent.

  21. Contraindication to any of the required concomitant drugs or supportive treatments.

  22. Patients unwilling or unable to comply with the protocol.",RECRUITING
NCT06144476,Study of Inflammatory and Physiological Profiles of Healthy and Diseased Lung,"COPD, Asthma, Airway Disease","Inclusion Criteria:

* Participant is willing and able to give informed consent for participation in the study
* Aged 18 years or above
* Patient: known or suspected airway disease
* Healthy volunteer: considered to be in good health with no significant comorbidity (immune disorder, cancer etc.)

Exclusion Criteria:

* Known or suspected current pulmonary tuberculosis, HIV (human immunodeficiency virus), Hepatitis B Virus, Hepatitis C Virus.
* Surgery within the preceding 6 weeks
* Participants who are pregnant
* History of psychiatric, medical, or surgical disorders that in the opinion of the chief investigator may interfere with sample collection, undergo a bronchoscopy, or may compromise study completion or data collection
* Alcohol or recreational drug abuse
* Diagnosis of immunodeficiency requiring treatment
* Unable to provide written informed consent
* Unable to read or write English
* Be considered, in the opinion of the investigator, to be an unsuitable candidate for the study",RECRUITING
NCT05601427,Intra-Operative Adductor Canal Blocks,"Knee Osteoarthritis, Knee Arthritis, Knee Pain Chronic, Anesthesia","Inclusion Criteria:

1. Male and female patients aged 18 years or older
2. Primary TKA booked as SDD
3. Diagnosis of osteoarthritis

Exclusion Criteria:

1. Inability or refusal to sign informed consent form
2. Non-English or French speaking, and no licensed translator, family member or substitute decision maker available.
3. Non-osteoarthritis primary diagnosis
4. Allergy to analgesic medications
5. Contraindication to spinal and/or regional anaesthesia
6. Any use of opioid pain medication within four weeks of the index procedure(13)
7. Pain catastrophizing scale score ≥16 (8, 9, 14)
8. History of cirrhosis
9. History renal insufficiency
10. History or sensory and/or motor neuropathy to the ipsilateral limb
11. Simultaneous, bilateral TKA
12. Non-TKA prosthesis
13. Scheduled for non-SDD TKA.
14. Preoperative varus/valgus of \>10 degrees.
15. Planned General Anaesthetic
16. Use of Intrathecal Morphine",RECRUITING
NCT06040827,"A Multicenter, Postmarket Surveillance Study of Subjects With the Canary canturioTM te Tibial Extension",Knee Osteoarthritis,"Inclusion

* Patient must be 18 years of age or older
* Patient qualifies for primary total knee arthroplasty based on physical exam and medical history, including diagnosis of severe knee pain and disability due to osteoarthritis, limited to:
* Mild or Moderate valgus, varus, or flexion deformities
* Patient must be willing and able to complete the protocol required follow-up
* Patient is indicated for a 58mm or 30mm tibial stem extension
* Patient has participated in the study-related informed consent process
* Patient is willing and able to provide written Informed Consent by signing and dating the IRB approved informed consent
* Patient has a platform-compatible personal computer located in their dwelling with appropriate wireless internet access and a USB port
* Independent of study participation, patient is a candidate for commercially available Persona Personalized Knee System implanted in accordance with product labeling

Exclusion

* Simultaneous bilateral TKA
* Staged bilateral TKA less than 6 months from indexed procedure
* Patient is a current alcohol or drug abuser
* Patient is known to be pregnant, breastfeeding, or considered a member of a protected class (e.g., prisoner, mentally incompetent, etc.)
* Patient has a psychiatric illness or cognitive deficit that will not allow proper informed consent and participation in follow-up program
* Patient has previous history of infection in the affected joint and/or a local or systemic infection that may affect the prosthetic joint
* Patient with mental or neurologic conditions who are unwilling or incapable of following postoperative care instructions
* Patient with skeletal immaturity
* Patient has insufficient bone stock on femoral or tibial surfaces
* Patient with Neuropathic Arthropathy
* Patient has osteoporosis, or any loss of musculature or neuromuscular disease that compromises the affected limb
* Patient has severe instability secondary to the absence of collateral ligament integrity.
* Patient has a stable, painless arthrodesis in a satisfactory functional position
* Patient has rheumatoid arthritis accompanied by an ulcer of the skin or a history of recurrent breakdown of the skin
* Patient has a known or suspected sensitivity to one or more of the implant materials
* Patient is undergoing procedures or treatments using ionizing radiation
* Patients with known symptomatic foot, hip, or spinal injuries and/or conditions that could affect gait",RECRUITING
NCT06026527,Intra-operative Magnesium Sulphate for Post-operative Pain in Patients Undergoing Total Abdominal Hysterectomy Under General Anesthesia,Post-operative Pain,"Inclusion Criteria:

* Patient undergoing elective abdominal hysterectomy.
* Between the ages of 18- 65.
* American Society of Anesthesiologists Physical Status (ASA PS) I and II.

Exclusion Criteria:

* Neurological and psychiatric disorder.
* Drug or alcohol abuse.
* Patients with a known or suspected allergy to magnesium sulphate.
* Patients with any contraindication to magnesium sulphate (heart blocks, neuromuscular diseases)",RECRUITING
NCT04257227,Transcranial Magnetic Stimulation for Psychological Distress in Patients With Advanced Illness,"Depressive Symptoms, Depression, Anxiety, Psychological Distress, Terminal Illness","Inclusion Criteria:

* PC unit patients and PC patients in the community with advanced (terminal) illness
* \>1 month life expectancy
* Experiencing psychological distress, as indicated by a score of 7 or greater on the Depression, Anxiety, or Well-being subscale of the Edmonton Symptom Assessment System (ESAS)
* Ability to understand and communicate in English

Exclusion Criteria:

* Current or previously diagnosed seizure disorder or first-degree relative with current or previously diagnosed seizure disorder
* Documented brain lesions
* Inability to remain still while sitting up (45 degrees) for the duration of therapy
* Known contraindications to rTMS, including: metallic skull plates, clips, or stimulators; pacemakers and other electronic implants; pregnancy; recurrent headaches with no known cause that do not respond to over-the-counter medications; current or previous skull fracture or traumatic brain injury; previous brain surgery; medications that lower seizure threshold",RECRUITING
NCT05285527,MiSight 1 Day Safety Post-Approval Study,Myopia,"Inclusion Criteria:

1. Be between 8 and 12 years of age inclusive at the time of enrollment.
2. Manifest Refraction - Spherical Equivalent Refractive Error (SERE) at baseline between -0.75 D and -4.00 D inclusive (at the corneal plane).
3. Best-corrected visual acuity by manifest refraction of at least 20/25 bilaterally
4. Anisometropia: ≤ 1.50D SERE.
5. Astigmatism: ≤ -0.75 D
6. Free of ocular disease or abnormalities (including any corneal scar)
7. The parent/guardian must be capable of comprehending the nature of the study and consent to the use and release of their child's de-identified health care encounter data to be used for purposes of this study. Assent will be obtained from the child in a manner specified by the IRB.
8. Parent/Guardian must sign the Release of Medical Records associated with the outcomes of interest identified from claims data.
9. Interested in wearing contact lenses for approximately 10 hours per day and 6 days per week.
10. Possesses, or obtains prior to dispensing, wearable and visually functional (20/40 or better) eyeglasses.

Exclusion Criteria:

1. Acute and subacute inflammation or infection of the anterior chamber of the eye.
2. Any eye disease, injury, or abnormality that affects the cornea, conjunctiva, or eyelids.
3. Severe insufficiency of lacrimal secretion (dry eyes).
4. Corneal hypoesthesia (reduced corneal sensitivity), if not aphakic.
5. Any systemic disease that may affect the eye or be exaggerated by wearing contact lenses.
6. Allergic reactions of ocular surfaces or adnexa that may be induced or exaggerated by wearing contact lenses or use of contact lens solutions.
7. Any active corneal infection (bacterial, fungal, or viral).
8. If eyes are red or irritated.
9. The patient is unable to follow lens handling and wear regimen or unable to obtain assistance to do so.
10. In addition to the labeling contraindications, children who are under medication that would interfere with contact lens wear, or who are using any pharmaceuticals for control of myopia will not be included in the study.",RECRUITING
NCT06190327,Effects of a Blended Indoor and Outdoor Physical Exercise Program on Depressive Symptoms in Hong Kong Older Adults,Depressive Symptoms,"Inclusion Criteria:

* 60 to 74 years at the start date of the project.
* Chinese version of Geriatric Depression Scale (GDS-C) scoring 5-15 (i.e., mild to serve level of depressive symptoms).
* Passing the PAR-Q plus screening or with the physician's approval for readiness to participate in high-intensity exercise.

Exclusion Criteria:

* Having cognition impairment regarded by specialists.
* are attending other health projects related to physical exercise.",RECRUITING
NCT05518227,Patient Satisfaction and Visual Outcomes After Bilateral PanOptix Implantation in Patients With Previous Multifocal Contact Lens,Cataract,"Inclusion Criteria:

Subjects are eligible for the study if they meet the following criteria:

Note: Ocular criteria must be met in both eyes.

* Adult cataract patients undergoing uncomplicated cataract surgery with Clareon PanOptix IOL implantation (non-toric/toric).
* Visually significant cataracts bilaterally.
* History of successful soft multifocal contact lens use in the past (within ≤ last 5 years).
* Healthy ocular exam.
* Gender: Males and Females.
* Willing and able to provide written informed consent for participation in the study.
* Willing and able to comply with scheduled visits and other study procedures.

Exclusion Criteria:

If any of the following exclusion criteria are applicable to the subject or either eye, the subject should not be enrolled in the study.

* Previous monovision patients.
* Ocular comorbidity that might hamper post operative visual acuity (Uveitis, Keratoconus, Retinopathies, Glaucoma).
* Previous ocular or refractive surgery.
* Expected monocular post-op distance VA worse than 20/25 (Snellen) in either eye.
* Refractive lens exchange.
* Angle kappa measurement in a single eye over 0.6 mm.
* Irregular corneal astigmatism or ectasia.
* Difficulties comprehending written or spoken English language.
* Patients with physical or intellectual disability (e.g. Down's Syndrome, Parkinson's Disease; unable to fixate).
* Severe/uncontrolled Ocular surface disease/Dry Eye Disease.
* Intraoperative complications during procedure.
* Visual expectations exceed outcomes.
* Strabismus (with or without amblyopia).

The principal investigator reserves the right to declare a patient ineligible or non-evaluable based on medical evidence that indicates they are unsuitable for the trial.

Pregnancy has a known effect on the stability of refractions and visual acuity. As such, subjects who become pregnant during the study will not be discontinued but their data may be excluded from analyses of effectiveness.",RECRUITING
NCT03916627,"Neoadjuvant Cemiplimab for the Treatment of Resectable NSCLC, HCC, and HNSCC in Adult Patients","Non-small Cell Lung Cancer, Hepatocellular Carcinoma, Head and Neck Squamous Cell Carcinoma","Key Inclusion Criteria:

* Patient must have a known diagnosis of NSCLC, HCC, or HNSCC as defined in the protocol
* Patient must be willing and able to provide blood samples at the indicated time points
* Patient must be willing and able to have excisional or core needle biopsies of tumor prior to initiation of cemiplimab as defined in the protocol
* Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
* Patient is determined to be a surgical candidate for resection of their tumor
* Adequate organ and bone marrow function as defined in the protocol

Key Exclusion Criteria:

* Patients who have had any systemic anti-cancer therapy or radiotherapy within 6 months prior to entering the study for their current tumor or a different primary tumor
* Patients whose tumor burden, or pace of tumor growth, in the opinion of the Investigator will not permit delaying surgery
* Patients who have participated in a study of an investigational agent or an investigational device within 4 weeks of study therapy or 5 half-lives (whichever is longer)
* Patients who have had major surgery within 14 days prior to initiation of neoadjuvant Therapy
* Patients with metastatic disease for whom the intent of surgery would not be curative
* Uncontrolled, intercurrent illness as defined in the protocol and as determined by the Investigator
* Is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of study treatment
* Has active autoimmune disease that has required systemic treatment in the past 1 year
* Has a known, additional malignancy that is progressing and/or requires active treatment. Exceptions include patients with: basal cell carcinoma of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy; in situ cervical or anal cancer; prostate cancer on stable dose of hormonal therapy without rising prostate-specific antigen (PSA); breast cancer who have been treated with curative intent, who may be on hormonal therapy.
* Encephalitis, meningitis, or uncontrolled seizures in the year prior to informed consent
* History of interstitial lung disease (eg, idiopathic pulmonary fibrosis, organizing pneumonia) or active, noninfectious pneumonitis that required immune-suppressive doses of glucocorticoids to assist with management. A history of radiation pneumonitis in the radiation field is permitted as long as pneumonitis resolved ≥6 months prior to study treatment.
* Uncontrolled infection with human immunodeficiency virus (HIV), HBV or hepatitis C infection (HCV); or diagnosis of immunodeficiency as defined in the protocol
* NSCLC cohorts only: Patients do not have a history of smoking. History of smoking is defined as smoking ≥100 cigarettes in a lifetime.
* NSCLC cohorts only: Patients with tumors tested positive for epidermal growth factor receptor (EGFR) gene mutations, anaplastic lymphoma kinase (ALK) gene translocations, or c-ros oncogene 1 (ROS1) fusions.

Note: Other protocol defined Inclusion/Exclusion criteria apply",RECRUITING
